,price,address,street,agency,irl,image,Living area,Rooms,Year of construction,interior,status,garden area,plot area,postcode,date
5146,1245,3016 BE Rotterdam (Nieuwe Werk),Apartment Van Vollenhovenstraat,NederWoon verhuurmakelaars Nijmegen,/apartment-for-rent/rotterdam/7064a7a8/van-vollenhovenstraat,https://casco-media-prod.global.ssl.fastly.net/7064a7a8-2abf-5fdf-890a-868f7570c43b/b21307de4ac8dce7cfbd9b2814830e3d.jpg?width=600&auto=webp,68,1,,Upholstered,,,,3016BE,2021-08-30
5147,1850,3581 KW Utrecht (Oudwijk),Apartment Burgemeester Reigerstraat,VGW Housing,/apartment-for-rent/utrecht/fbd7df85/burgemeester-reigerstraat,https://casco-media-prod.global.ssl.fastly.net/fbd7df85-76d7-5fc7-8a01-1f1462e3b0ee/1a0b3848ba992f3d2e23a8fa1ee02213.jpg?width=600&auto=webp,80,3,Before 1906,Upholstered,,,,3581KW,2021-08-30
5148,1850,3581 KW Utrecht (Oudwijk),Apartment Burgemeester Reigerstraat,VGW Housing,/apartment-for-rent/utrecht/4a600f6e/burgemeester-reigerstraat,https://casco-media-prod.global.ssl.fastly.net/4a600f6e-9d90-5abd-aea5-479989292dbf/c9dac3d0c058123e89c3540755aeeb5b.jpg?width=600&auto=webp,80,3,Before 1906,Upholstered,,,,3581KW,2021-08-30
5149,1550,5615 NZ Eindhoven (Oude Spoorbaan),Apartment Goudvisstraat,Domica Eindhoven,/apartment-for-rent/eindhoven/1534131b/goudvisstraat,https://casco-media-prod.global.ssl.fastly.net/1534131b-adf4-53bd-9b7e-03f3207a8788/dbf2e81f44f5afe5cc669c99f3e2668a.jpg?width=600&auto=webp,92,3,,Upholstered,,,,5615NZ,2021-08-30
5150,2400,3232 CC Brielle (De Kapel en omgeving),House Brigantijn,HB Housing ,/house-for-rent/brielle/013b954e/brigantijn,https://casco-media-prod.global.ssl.fastly.net/013b954e-e74e-5bba-8b6c-4f379071c24b/f435895f84f4f0784cad0ad63d168538.jpg?width=600&auto=webp,130,5,1973,,,,145 m²,3232CC,2021-08-30
5151,1750,3015 XJ Rotterdam (Oude Westen),Apartment Breitnerstraat,Interhouse verhuurmakelaars Rotterdam,/apartment-for-rent/rotterdam/b0c6797f/breitnerstraat,https://casco-media-prod.global.ssl.fastly.net/b0c6797f-8a5e-5b30-bb1b-e743d23e1a41/7283e84920248100f3a3ca104746f069.jpg?width=600&auto=webp,105,3,2019,Upholstered,,,,3015XJ,2021-08-30
5152,1395,5644 GJ Eindhoven (Gerardusplein),Apartment Roostenlaan,Lightcity Housing,/apartment-for-rent/eindhoven/59aa7596/roostenlaan,https://casco-media-prod.global.ssl.fastly.net/59aa7596-9f97-5252-9e5a-b5181a9ff40e/5c22fd5248b16d37c8be8df1cd14c510.jpg?width=600&auto=webp,80,3,,Furnished,,,,5644GJ,2021-08-30
5153,1495,5301 EN Zaltbommel (Zaltbommel Binnenstad),Apartment Oenselsestraat,Nu-huren.nl,/apartment-for-rent/zaltbommel/85af9e3f/oenselsestraat,https://casco-media-prod.global.ssl.fastly.net/85af9e3f-4859-5e7a-955b-f00b30808ea1/af91f29ab65de7fbae8489f5c9dd9900.jpg?width=600&auto=webp,120,4,2001,Upholstered,,,,5301EN,2021-08-30
5154,1525,3581 CG Utrecht (Buiten Wittevrouwen),Apartment Maliebaan 71 14,Alberts & Muus Wonen,/apartment-for-rent/utrecht/4bcc162d/maliebaan,https://casco-media-prod.global.ssl.fastly.net/4bcc162d-ba91-50c0-8c42-b0dd269910a8/97a4269345316cd43131b394806a3149.jpg?width=600&auto=webp,57,2,2018,,,,,3581CG,2021-08-30
5155,5500,1082 MK Amsterdam (Zuidas),Apartment Gustav Mahlerlaan 359,Engel en Volkers Amsterdam ,/apartment-for-rent/amsterdam/ade8d145/gustav-mahlerlaan,https://casco-media-prod.global.ssl.fastly.net/ade8d145-f6e4-505f-b0d2-229254ba6ea0/9ef744090655b9425ef17862d2523635.jpg?width=600&auto=webp,132,3,2019,Upholstered or furnished,,,,1082MK,2021-08-30
5156,2295,2585 JR Den Haag (Van Stolkpark en Scheveningse Bosjes),Apartment Van Stolkweg 14 B2,The Hague Real Estate Services,/apartment-for-rent/den-haag/61b8a95a/van-stolkweg,https://casco-media-prod.global.ssl.fastly.net/61b8a95a-a8e2-592c-ac91-3541dfb585db/b77571cd4eb822769064da6b8d5f19c3.jpg?width=600&auto=webp,108,3,2020,Upholstered,,,,2585JR,2021-08-30
