,price,address,street,agency,irl,image,surface-area,status,number-of-rooms,interior,construction-period,garden-surface-area,plot-size,postcode,date
1519,746,8011 BB Zwolle (Kamperpoort),Studio Hoogstraat,Maxx Zwolle,/studio-for-rent/zwolle/fceeb131/hoogstraat,https://casco-media-prod.global.ssl.fastly.net/fceeb131-452f-5a2a-a90a-e246c2967bfe/19d25237aad4b2fc42954a33ea48c67f.jpg?width=600&auto=webp,29,,1,Shell,,,,8011BB,2021-10-14
1520,885,8021 AP Zwolle (Bagijeide),Apartment Brink,Maxx Zwolle,/apartment-for-rent/zwolle/d2066a0d/brink,https://casco-media-prod.global.ssl.fastly.net/d2066a0d-6f3f-5534-a34e-e95d81ed6b64/88e39a0d95885a517e6052bb4afdad74.jpg?width=600&auto=webp,38,,2,Shell,,,,8021AP,2021-10-14
1521,1475,3527 RN Utrecht (Kanaleneiland-Noord),Apartment Adenauerlaan,IM Home Rentals,/apartment-for-rent/utrecht/3e5be4fa/adenauerlaan,https://casco-media-prod.global.ssl.fastly.net/3e5be4fa-009d-54ec-b8fa-43c072b987d4/f1b9d0be93a97e2a8e65a4f11d6995e0.jpg?width=600&auto=webp,55,,4,,2021-2030,,,3527RN,2021-10-14
1522,1199,1061 BS Amsterdam (De Kolenkit),Apartment Vrouwengelukhof 114,Grand Relocation,/apartment-for-rent/amsterdam/5c8775f7/vrouwengelukhof,https://casco-media-prod.global.ssl.fastly.net/5c8775f7-8d0b-5a07-852d-242aa37fbc16/a2379143ddaee33a444077b573bdcdf0.jpg?width=600&auto=webp,73,,2,Shell,,,,1061BS,2021-10-14
1523,3990,1013 AD Amsterdam (Haarlemmerbuurt),Apartment Westerdoksdijk,Keizerskroon makelaars,/apartment-for-rent/amsterdam/c81b6d7b/westerdoksdijk,https://casco-media-prod.global.ssl.fastly.net/c81b6d7b-48ab-59d6-9dc0-c46815faf63f/c2d4d4cecf60281555bdc43fe2a6d6ed.jpg?width=600&auto=webp,145,,4,Furnished,,,,1013AD,2021-10-14
1524,3300,1017 BA Amsterdam (Grachtengordel-Zuid),Apartment Beulingstraat,Keizerskroon makelaars,/apartment-for-rent/amsterdam/4fd9590c/beulingstraat,https://casco-media-prod.global.ssl.fastly.net/4fd9590c-ecac-5cc7-bd2b-842a404720d3/140a6c509d1c18ebcae2ef61df35f7a7.jpg?width=600&auto=webp,120,,3,,Before 1906,,,1017BA,2021-10-14
1525,3000,1016 AC Amsterdam (Grachtengordel-West),Apartment Singel,Keizerskroon makelaars,/apartment-for-rent/amsterdam/00233c06/singel,https://casco-media-prod.global.ssl.fastly.net/00233c06-f478-54d0-bf18-89eb7287e2e6/ff08ed949e13a034b4d5c71e926aea22.jpg?width=600&auto=webp,98,,5,Upholstered,,,,1016AC,2021-10-14
1526,2600,1016 AC Amsterdam (Grachtengordel-West),Apartment Singel,Keizerskroon makelaars,/apartment-for-rent/amsterdam/5bc20cb1/singel,https://casco-media-prod.global.ssl.fastly.net/5bc20cb1-30b7-5f5b-b4c4-4fb1979cf795/09075b3230008bacbc04dcaa8caa78d9.jpg?width=600&auto=webp,80,,4,Upholstered,,,,1016AC,2021-10-14
1527,1150,3076 SM Rotterdam (Lombardijen),Apartment Van Langendonckstraat,VERRA Real Estate Rotterdam,/apartment-for-rent/rotterdam/ded914c0/van-langendonckstraat,https://casco-media-prod.global.ssl.fastly.net/ded914c0-fd32-5df0-ad15-f50130193370/7be0a23f72e22acf48851c5fc3343537.jpg?width=600&auto=webp,70,,4,Upholstered,,,,3076SM,2021-10-14
1528,1200,3074 LC Rotterdam (Hillesluis),Apartment Slaghekstraat,Interhouse verhuurmakelaars Rotterdam,/apartment-for-rent/rotterdam/ae2fc662/slaghekstraat,https://casco-media-prod.global.ssl.fastly.net/ae2fc662-904d-5060-8d3e-432aa9aacdb2/14c8000b02002b696694aad953726def.jpg?width=600&auto=webp,101,,4,Shell,,,,3074LC,2021-10-14
