,price,address,street,agency,irl,image,Living area,Rooms,interior,status,Year of construction,plot area,garden area,postcode,date
28,650,6544 ZS Nijmegen (Neerbosch-Oost),Studio O.C. Huismanstraat,Numaga Vastgoed,/studio-for-rent/nijmegen/b13f9cec/o-c-huismanstraat,https://media.pararius.nl/image/PR0001657000/PR0001657997/image/jpeg/400x600/NijmegenOCHuismanstraat-ee55_4.jpg,16,1,Upholstered,,,,,6544ZS,2021-08-25
29,1550,1016 PT Amsterdam (Jordaan),Apartment Laurierstraat 218 III,De Graaf & Groot Makelaars,/apartment-for-rent/amsterdam/ad6336b1/laurierstraat,https://casco-media-prod.global.ssl.fastly.net/ad6336b1-2a09-550d-baf0-fb2550c4ffe4/0429e61068813acfbe2393aaa47826e9.jpg?width=600&auto=webp,45,2,,,1906-1930,,,1016PT,2021-08-25
30,800,6821 GC Arnhem (Graaf Ottoplein e.o.),Apartment St. Antonielaan,1huis Makelaars,/apartment-for-rent/arnhem/708ed924/st-antonielaan,https://casco-media-prod.global.ssl.fastly.net/708ed924-fb7d-5746-ba99-50764635728a/fbfa25b975cf239b0cc37cf2d9c0df45.jpg?width=600&auto=webp,55,2,Furnished,,1900,,,6821GC,2021-08-25
31,1595,1059 XN Amsterdam (Hoofddorppleinbuurt),Apartment Katwijkstraat,Brummel & Beuk Makelaars ,/apartment-for-rent/amsterdam/d93a5235/katwijkstraat,https://casco-media-prod.global.ssl.fastly.net/d93a5235-120c-59fb-a835-69cd47a94795/132698ff400ee0e3d44e5823eb6b19be.jpg?width=600&auto=webp,52,2,Upholstered,,1933,,,1059XN,2021-08-25
32,1785,6212 BX Maastricht (Villapark),Apartment Henri Goovaertsweg,Woonder,/apartment-for-rent/maastricht/43cdd5ae/henri-goovaertsweg,https://casco-media-prod.global.ssl.fastly.net/43cdd5ae-a577-5fc6-9fe5-22b1a66f6562/152218d0f9fb275a0d67df8adf8436c0.jpg?width=600&auto=webp,110,4,,,1934,,25,6212BX,2021-08-25
33,2500,1015 DL Amsterdam (Grachtengordel-West),Apartment Prinsengracht 69 A,27 Huis Makelaars,/apartment-for-rent/amsterdam/c259b83f/prinsengracht,https://casco-media-prod.global.ssl.fastly.net/c259b83f-eeac-50a5-a5a1-b7cce5a25655/68fe17b19b790ddca26a3547fc9e3fe2.jpg?width=600&auto=webp,100,2,Upholstered,,1991,,,1015DL,2021-08-25
34,1650,1016 XN Amsterdam (Jordaan),Apartment Raamdwarsstraat 7 II,Amsterdam Housing,/apartment-for-rent/amsterdam/e1342de4/raamdwarsstraat,https://casco-media-prod.global.ssl.fastly.net/e1342de4-1338-5466-8613-cb4b77066876/36d20b45fd45c01ef56091bcac9ee1b9.jpg?width=600&auto=webp,55,2,Upholstered,,1005,,,1016XN,2021-08-25
35,2200,1055 AD Amsterdam (De Kolenkit),Apartment Bos en Lommerplein 111,Amsterdam Housing,/apartment-for-rent/amsterdam/a99e74d7/bos-en-lommerplein,https://casco-media-prod.global.ssl.fastly.net/a99e74d7-3176-5d80-a0ac-8e16c846fd8b/0a89beb7d425c57d8d4ab74554067129.jpg?width=600&auto=webp,119,4,Upholstered or furnished,,2009,,,1055AD,2021-08-25
36,1375,3526 BG Utrecht (Kanaleneiland-Zuid),Apartment Rooseveltlaan,Covers & Jonker Makelaars BV,/apartment-for-rent/utrecht/eb1a573f/rooseveltlaan,https://casco-media-prod.global.ssl.fastly.net/eb1a573f-1ed7-5fa9-98a4-6991db9189e1/567e9dbe43342b67998634468765d6fb.jpg?width=600&auto=webp,77,3,Upholstered,,1963,,,3526BG,2021-08-25
37,1350,3031 AN Rotterdam (Rubroek),Apartment Jonker Fransstraat,Riva Rentals,/apartment-for-rent/rotterdam/84c6587d/jonker-fransstraat,https://casco-media-prod.global.ssl.fastly.net/84c6587d-1330-5bd9-a978-c110957fd7de/35eacb9a645202a22c4117492515b2f2.jpg?width=600&auto=webp,83,3,Upholstered,,,,,3031AN,2021-08-25
