,price,address,street,agency,irl,image,Living area,Rooms,interior,status,garden area,Year of construction,plot area,postcode,date
27,1250,3013 AL Rotterdam (Cs Kwartier),Apartment Weena,Riva Rentals,/apartment-for-rent/rotterdam/29067cc2/weena,https://casco-media-prod.global.ssl.fastly.net/29067cc2-7af1-5130-8c30-0e99e6093171/aa3627a402670434b9da5c64db9144a4.jpg?width=600&auto=webp,95,3,Upholstered,,,,,3013AL,2021-10-01
28,1395,3011 TG Rotterdam (Stadsdriehoek),Apartment Haringvliet,Riva Rentals,/apartment-for-rent/rotterdam/46a41e25/haringvliet,https://casco-media-prod.global.ssl.fastly.net/46a41e25-aa45-55c9-b82c-8ace2ea5f3ab/5d0e6d82d51d9ec120ccbf59a686ac15.jpg?width=600&auto=webp,70,2,Furnished,,,,,3011TG,2021-10-01
29,1275,2011 RR Haarlem (Bakenes),Apartment Ridderstraat,123Wonen Haarlem,/apartment-for-rent/haarlem/2bf19320/ridderstraat,https://casco-media-prod.global.ssl.fastly.net/2bf19320-11f4-56ac-ad0d-e78b2440a207/1d17d3642d87c06330874a28ddcaca8a.png?width=600&auto=webp,50,2,Upholstered,,,,,2011RR,2021-10-01
30,1195,5038 BP Tilburg (Binnenstad Oost),House Pieter Vreedeplein,123Wonen Tilburg,/house-for-rent/tilburg/0420c13d/pieter-vreedeplein,https://casco-media-prod.global.ssl.fastly.net/0420c13d-2d1a-5132-94cc-e2b3ef4f567d/7ebf46041b71b4e598f78d9ae43d5bef.jpg?width=600&auto=webp,79,3,Upholstered,,,,,5038BP,2021-10-01
31,880,2628 AL Delft (TU-Campus),Apartment Rotterdamseweg,Rent a Room Delft,/apartment-for-rent/delft/db2bb481/rotterdamseweg,https://casco-media-prod.global.ssl.fastly.net/db2bb481-3f73-5c92-8b5a-511a6dd13359/430301744c76b2e71ec1876ccbf0c099.jpg?width=600&auto=webp,26,1,,,,2020,,2628AL,2021-10-01
32,1700,1071 VW Amsterdam (Museumkwartier),Apartment Cornelis Anthoniszstraat 56 II,Amsterdam Housing,/apartment-for-rent/amsterdam/6779ffac/cornelis-anthoniszstraat,https://casco-media-prod.global.ssl.fastly.net/6779ffac-500f-5994-9cc6-e02f40792add/dcd35be337bf7543fb714cee833ffe55.jpg?width=600&auto=webp,65,3,Furnished,,,,,1071VW,2021-10-01
33,1850,2036 RK Haarlem (De Burgen),Apartment Engelenburg 297,Lokaal Makelaardij,/apartment-for-rent/haarlem/c2fd717a/engelenburg,https://casco-media-prod.global.ssl.fastly.net/c2fd717a-5b8b-52e7-8434-beb3614217e9/c711072ae7668b318c31f1ac03f1a428.jpg?width=600&auto=webp,95,4,Upholstered,,,,,2036RK,2021-10-01
34,925,2561 BA Den Haag (Valkenboskwartier),Apartment Edisonstraat,Woonzeker Rentals,/apartment-for-rent/den-haag/174b8d01/edisonstraat,https://casco-media-prod.global.ssl.fastly.net/174b8d01-c1be-5dda-93b3-96d3e699b613/c4af311a1561a4f0527b58652e86b967.jpg?width=600&auto=webp,45,1,Upholstered,,,,,2561BA,2021-10-01
35,3500,1185 XR Amstelveen (Startbaanbuurt),House Startbaan 10,Renthouse Vastgoed,/house-for-rent/amstelveen/934a18ca/startbaan,https://media.pararius.nl/image/PR0001658000/PR0001658784/image/jpeg/400x600/AmstelveenStartbaan-8767_1.jpg,160,6,Upholstered,,,,,1185XR,2021-10-01
36,1500,1055 BM Amsterdam (Erasmuspark),Apartment Sanderijnstraat,A Plus Apartments,/apartment-for-rent/amsterdam/dab38845/sanderijnstraat,https://casco-media-prod.global.ssl.fastly.net/dab38845-baaa-5df4-a8eb-6303316f3f9c/be3323cf47d0d12c64e23698a3308988.jpg?width=600&auto=webp,65,3,Upholstered,,,,,1055BM,2021-10-01
