,postcode,latitude,longitude,Straat,Netnummer,Postcodenummer,Buurt,Wijk,Plaats,Gemeente,Provincie,Straten
5156,2514HE,52.085285652725,4.3088107239074,Mauritskade 37 - 41 ,70,2514,Voorhout,Wijk 28 Centrum,Den Haag,'s-Gravenhage,Zuid-Holland,"
Begijnhof 1 - 3 

Rapenburg 58 - 70 

"
5157,1111JW,52.344826502795,4.959526431795,Tobias Asserlaan 273 - 296 ,20,1111,Ruimzicht-West,Wijk 01 Diemen-Centrum,Diemen,Diemen,Noord-Holland,"
Begijnhof 1 - 3 

Rapenburg 58 - 70 

"
5158,1165NA,52.396070705628,4.7543162714316,Zuiderweg 2 - 1285 ,20,1165,Verspreide huizen Houtrakpolder,Wijk 00,Halfweg,Haarlemmermeer,Noord-Holland,"
Begijnhof 1 - 3 

Rapenburg 58 - 70 

"
5159,3071ND,51.914295352964,4.4947832886992,Maaskade 75 - 83 ,10,3071,Noordereiland,Feijenoord,Rotterdam,Rotterdam,Zuid-Holland,"
Begijnhof 1 - 3 

Rapenburg 58 - 70 

"
5160,3811BP,52.155738995332,5.3883031245575,Maaskade 75 - 83 ,33,3811,Lieve Vrouwekerkhof,Wijk 01 Stadskern,Amersfoort,Amersfoort,Utrecht,"
Zwanenhalssteeg 2 - 34 

Lieve Vrouwestraat 5 - 35 

"
5161,1082ME,52.336896820198,4.8705895167664,Gustav Mahlerlaan 50 - 366 ,20,1082,Zuidas Zuid,Zuidas,Amsterdam,Amsterdam,Noord-Holland,"
Zwanenhalssteeg 2 - 34 

Lieve Vrouwestraat 5 - 35 

"
5162,3311VK,51.812811654686,4.6648382532667,Lange Breestraat 3 - 76 ,78,3311,Lombard en omgeving,Wijk 01 Binnenstad,Dordrecht,Dordrecht,Zuid-Holland,"
Zwanenhalssteeg 2 - 34 

Lieve Vrouwestraat 5 - 35 

"
5163,2511VJ,52.077246872781,4.3246883619276,Boomsluiterskade 214 - 335 ,70,2511,Rivierenbuurt-Noord,Wijk 27 Stationsbuurt,Den Haag,'s-Gravenhage,Zuid-Holland,"
Zwanenhalssteeg 2 - 34 

Lieve Vrouwestraat 5 - 35 

"
5164,2064KZ,52.411201526179,4.6841129872378,Lageweg 1 - 16 ,23,2064,Spaarndam (gedeeltelijk),Wijk 00,Spaarndam,Haarlemmermeer,Noord-Holland,"
Zwanenhalssteeg 2 - 34 

Lieve Vrouwestraat 5 - 35 

"
5165,4611PC,51.4943941324,4.2902259695009,Koevoetstraat 4 - 62 ,164,4611,Centrum,Wijk 00 Bergen op Zoom-Oude stad en omgeving,Bergen op Zoom,Bergen op Zoom,Noord-Brabant,"
Zwanenhalssteeg 2 - 34 

Lieve Vrouwestraat 5 - 35 

"
5166,2597JX,52.110214822056,4.3032059441271,Pompstationsweg 38 - 64 ,70,2597,Belgisch Park,Wijk 02 Belgisch Park,Den Haag,'s-Gravenhage,Zuid-Holland,"
Zwanenhalssteeg 2 - 34 

Lieve Vrouwestraat 5 - 35 

"
5167,2593RX,52.085639902433,4.3449523898007,Loudonstraat 20 - 58 ,70,2593,Bezuidenhout-Oost,Wijk 26 Bezuidenhout,Den Haag,'s-Gravenhage,Zuid-Holland,"
Zwanenhalssteeg 2 - 34 

Lieve Vrouwestraat 5 - 35 

"
5168,1054DD,52.363053837042,4.8738568387239,Eerste Helmersstraat 75 - 83 ,20,1054,WG-terrein,Helmersbuurt,Amsterdam,Amsterdam,Noord-Holland,"
Zwanenhalssteeg 2 - 34 

Lieve Vrouwestraat 5 - 35 

"
5169,1082VC,52.332465717941,4.8708522540908,Valkhof 1 - 39 ,20,1082,Gelderlandpleinbuurt,Buitenveldert-West,Amsterdam,Amsterdam,Noord-Holland,"
Zwanenhalssteeg 2 - 34 

Lieve Vrouwestraat 5 - 35 

"
5170,2225HK,52.201428723018,4.3928543038948,Koninginneweg 2 - 46 ,71,2225,Midden,Katwijk aan Zee,Katwijk,Katwijk,Zuid-Holland,"
Zwanenhalssteeg 2 - 34 

Lieve Vrouwestraat 5 - 35 

"
5171,7412PL,52.267543052286,6.1376339514814,P.C. Hooftlaan 81 - 115 ,570,7412,Schrijversbuurt,Wijk 3 Zandweerd,Deventer,Deventer,Overijssel,"
Zwanenhalssteeg 2 - 34 

Lieve Vrouwestraat 5 - 35 

"
5172,2041HJ,52.379375392282,4.5301137540262,de Ruyterstraat 2 - 4 ,23,2041,Boulevard Noord,Zandvoort Noord,Zandvoort,Zandvoort,Noord-Holland,"
Zwanenhalssteeg 2 - 34 

Lieve Vrouwestraat 5 - 35 

"
5173,1363LS,52.3528138283,5.1388518895469,Olivier van Noortstraat 4 - 218 ,36,1363,Columbuskwartier,Wijk 04 Almere Poort,Almere,Almere,Flevoland,"
Zwanenhalssteeg 2 - 34 

Lieve Vrouwestraat 5 - 35 

"
5174,2013GE,52.38310430298,4.6281521429977,Ruychaverstraat 2 - 79 ,23,2013,Hasselaersbuurt,Zijlwegkwartier,Haarlem,Haarlem,Noord-Holland,"
Zwanenhalssteeg 2 - 34 

Lieve Vrouwestraat 5 - 35 

"
5175,1019NB,52.377480143692,4.9478193031923,Venetiëhof 51 - 96 ,20,1019,KNSM-eiland,Oostelijk Havengebied,Amsterdam,Amsterdam,Noord-Holland,"
Zwanenhalssteeg 2 - 34 

Lieve Vrouwestraat 5 - 35 

"
