city,latitude,longitude,Provincie,population
Echt,51.1058,5.8706,Limburg,19237.0
Lichtenvoorde,51.9833,6.5667,Gelderland,19224.0
Eersel,51.3572,5.3147,Noord-Brabant,19110.0
Meerssen,50.8858,5.7519,Limburg,18923.0
Zuidhorn,53.2468,6.4077,Groningen,18917.0
Groesbeek,51.7833,5.9333,Gelderland,18870.0
Edam,52.5167,5.05,Noord-Holland,18828.0
Druten,51.8889,5.6044,Gelderland,18797.0
Oirschot,51.5047,5.3128,Noord-Brabant,18623.0
Bergeijk,51.3203,5.3592,Noord-Brabant,18491.0
Drunen,51.6833,5.1667,Noord-Brabant,18355.0
Bemmel,51.8917,5.8958,Gelderland,18104.0
Elst,51.9156,5.8378,Gelderland,18056.0
Hardinxveld-Giessendam,51.83,4.87,Zuid-Holland,18051.0
Middelharnis,51.7535,4.1647,Zuid-Holland,18050.0
Bodegraven,52.0808,4.7486,Zuid-Holland,17954.0
Sint-Oedenrode,51.5636,5.4608,Noord-Brabant,17893.0
Ommen,52.5167,6.4167,Overijssel,17813.0
Naarden,52.2953,5.1622,Noord-Holland,17301.0
Waalre,51.3867,5.4456,Noord-Brabant,17247.0
Gennep,51.6942,5.9733,Limburg,17071.0
Zandvoort,52.3667,4.5333,Noord-Holland,17011.0
Staphorst,52.6333,6.2,Overijssel,17003.0
Son en Breugel,51.5158,5.5022,Noord-Brabant,16904.0
Asten,51.4031,5.7472,Noord-Brabant,16710.0
Kralingse Veer,51.9249,4.5071,Zuid-Holland,16673.0
Didam,51.9333,6.1333,Gelderland,16603.0
Heumen,51.7656,5.8433,Gelderland,16486.0
Eibergen,52.1,6.65,Gelderland,16272.0
Harenkarspel,52.7344,4.7706,Noord-Holland,16179.0
Beek,50.9394,5.7961,Limburg,15929.0
Vlijmen,51.6953,5.2119,Noord-Brabant,15899.0
Zevenbergen,51.6453,4.5997,Noord-Brabant,15859.0
Harlingen,53.1736,5.4272,Fryslân,15822.0
Huissen,51.9333,5.9333,Gelderland,15782.0
Hilvarenbeek,51.4861,5.1367,Noord-Brabant,15334.0
Bunnik,52.0672,5.1969,Utrecht,15192.0
Den Ham,52.465,6.4942,Overijssel,15051.0
Boskoop,52.0667,4.6333,Zuid-Holland,15045.0
Westervoort,51.9667,5.9667,Gelderland,14944.0
IJsselmuiden,52.5647,5.9275,Overijssel,14926.0
Sassenheim,52.2258,4.5225,Zuid-Holland,14886.0
Rijnsburg,52.1897,4.4408,Zuid-Holland,14843.0
Rozenburg,51.9058,4.2486,Zuid-Holland,14741.0
Breukelen,52.1725,4.9986,Utrecht,14736.0
Lopik,51.9722,4.9464,Utrecht,14473.0
Scheemda,53.1667,6.9667,Groningen,14368.0
Gorssel,52.2,6.2,Gelderland,14281.0
Haaren,51.6017,5.2228,Noord-Brabant,14195.0
Beilen,52.8567,6.5111,Drenthe,14089.0
Maasbracht,51.15,5.8833,Limburg,13700.0
Raamsdonk,51.6878,4.9081,Noord-Brabant,13658.0
Winsum,53.3312,6.5157,Groningen,13560.0
Uitgeest,52.5292,4.7103,Noord-Holland,13528.0
Beesel,51.2669,6.0392,Limburg,13519.0
Valburg,51.9111,5.7892,Gelderland,13449.0
Margraten,50.8225,5.8203,Limburg,13370.0
Reeuwijk,52.0481,4.7203,Zuid-Holland,13296.0
Maasbree,51.35,6.05,Limburg,13216.0
Bergschenhoek,51.98,4.5,Zuid-Holland,13206.0
Woudenberg,52.0806,5.4164,Utrecht,13166.0
Bergen,51.5992,6.0336,Limburg,13140.0
Odoorn,52.8508,6.8481,Drenthe,13126.0
Mijdrecht,52.2072,4.8594,Utrecht,13009.0
Schinnen,50.9428,5.8894,Limburg,12911.0
Borger,52.9236,6.7922,Drenthe,12871.0
Kapelle,51.5,3.95,Zeeland,12785.0
Franeker,53.1875,5.54,Fryslân,12781.0
Halsteren,51.5256,4.2747,Noord-Brabant,12725.0
Wieringerwerf,52.85,5.03,Noord-Holland,12576.0
